comp237 32% (3-Cl) + 50% (5-Cl) NCS
comp238 a 61% (2xI, NIS), 73% (2xBr, NBS), b 90% (NIS), 71% (NBS))
comp239 80% (NBS)
comp241 66% (NBS)
comp242 59% (*Br2*)
comp243 90% (NBS), 86% (NCS))
comp244 80% (NBS)
comp245 91% (NBS)
comp246 71% (NBS)
comp247 100% (*Br2*)
comp248 95% (NBS)
comp249 88% (NBS)
comp250 93% (NBS)
comp251 52% (NBS)
comp252 85% (NCS then NBS)
comp253 2-Br 56%, 3-Br (*Br2*)
comp254 52% (NBS)
comp255 2-Br 40%, 6-Br 32%, 2+6-diBr 14% (NBS)
comp256 99% (NBS)
comp257 93% (NBS)
comp258 73% (NBS)
comp259 51% (NBS)
comp260 97% (NBS)
comp261 90% (*Br2*)
comp262 75% (NBS)
comp263 80% (NBS)
comp264 78% (*Br2*)
comp265 82% (NIS)
comp266 83% (NBS)
comp267 91% (*Br2*)
comp268 85% (NIS)
comp269 67% (NIS)
comp270 86% (NIS)
comp271 88% (NIS)
comp272 77% (NIS)
comp273 92% (NIS)
comp274 63% 2x para (*I2*)
comp275 72% (NIS)
comp276 100% (NBS)
comp277 4-Br 75%, 6-Br 2%, 4+6-diBr 3%
comp278 83% (NIS)
comp279 100% (NIS)
comp280 68% (NCS)
comp281 95% (NIS)
comp283 65% (NIS)
comp284 64% (NBS)
comp285 80% (NCS)
comp286 95% (*Br2*)
comp289 78% (NBS)
comp290 97% (NBS)
comp291 77% (*Br2*)
comp292 76% (NIS), 71% (NIS)
comp293 73% (NBS)
comp296 98% (NBS)
comp297 70% (NBS)
comp298 72% (NBS)
comp300 68% (NIS)
comp301 96% (NCS)
comp302 83% (NIS)
comp303 71% (NIS)
comp304 94% (NIS), 94% (NIS)
comp305 94% (NIS)
comp306 100% (NIS)
comp307 92% (NBS)
comp308 98% (NIS)
comp309 70% (NBS)
comp310 73% (NIS)
comp311 66% (NIS)
comp312 89% (NBS), 67% (NBS)
comp313 71% (NBS)
comp314 95% (NBS)
comp315 86% (NBS)
comp316 80% (NBS)
comp317 86% (NBS)
comp318 91% (NIS)
comp319 76% (NCS)
comp320 68% (NBS)
comp321 72% (NIS)
comp322 93% (NIS)
comp323 52% (NIS)
comp324 69% (NIS), 79% (NCS)
comp325 92% (NBS)
comp326 78% (NBS)
comp327 100% (NIS)
comp328 94% (NIS)
comp329 90% (NBS)
comp330 91% (NIS)
comp331 97% (NIS)
comp332 88% (NBS)
comp333 86% (NIS)
comp334 90% (NBS)
comp335 NBS
comp336 97% (NBS)
comp337 100% (NIS)
comp338 63% (NIS)
comp339 99% (NIS)
comp340 80% (NIS)
comp341 80% (NCS)
comp342 98% (NBS)
comp343 48% (NBS)
comp344 2xBr 49% (NBS), 2xCl 78% (NCS)
comp345 76% (NBS)
comp346 84% (NBS)
comp347 84% (NBS)
comp348 54% (NBS)
comp349 80% (NIS)
comp351 40% (NCS)
comp353 82% (NBS), 60% (NCS)
comp354 54% (NCS), 95% (*HNO3*)
comp355 89% (NBS)
comp356 91% (NCS)
comp357 59% (NBS)
comp358 97% (NCS), 82% (NBS)
comp359 79% (NBS)
comp360 74% (NBS)
comp361 84% (NCS)
comp362 90% (NBS)
comp363 84% (NBS), 90% (NBS)
comp364 90% (NBS)
comp365 96% (NBS)
comp366 98% (NCS)
comp367 98% (NIS)
comp368 5-Br 35%, 7-Br 6%
comp369 5-Br 66%, 7-Br 11%
comp370 63% (NBS)
comp371 90% (NIS), 82% (NBS)
comp372 69% (NBS)
comp373 57% (NCS)
comp374 77% (NBS)
comp375 97% (NBS)
comp376 2xCl 97% (NCS)
comp377 58% (NCS)
comp378 68% (NCS)
comp381 63% (NBS)
comp382 99% (NIS)
comp383 90% (NBS), 84% (NBS), 90% (NBS)
comp384 68% (NCS)
comp385 72% (NIS)
comp386 67% (NBS)
comp387 94% (NIS)
comp388 89% (NIS)
comp389 37% (NBS)
comp390 98% (NBS)
comp391 79% (NBS)
comp392 56% (NCS), 84% (NCS)
comp394 70% (NIS)
comp395 64% (NBS)
comp396 85% (NIS)
comp397 88% (NCS), 95% (NBS)
comp398 65% (NBS)
comp399 I2, 1xI, 3pos, 48%, NCS, 1xCl 3 pos, 81% + 2,3-diCl, 10%
comp400 68% (NBS)
comp401 50% (NBS)
comp402 58% (NBS)
comp403 78% (NIS)
comp404 75% (NIS)
comp405 49% (NIS)
comp406 78% (NBS)
comp407 95% (NBS)
